Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1920,-.15,-.29,.00,-.21,-.21,-.26,-.25,-.31,-.35,-.40,-.45,-.71,-.30,-.29,-.33,-.14,-.28,-.40
1921,.19,-.09,-.11,-.17,-.24,-.15,-.02,-.29,-.18,-.01,-.09,-.13,-.11,-.16,-.20,-.17,-.15,-.09
1922,-.37,-.62,-.11,-.15,-.19,-.16,-.28,-.36,-.43,-.33,-.13,-.15,-.27,-.27,-.37,-.15,-.27,-.30
1923,-.18,-.46,-.39,-.53,-.39,-.24,-.29,-.27,-.17,.06,.15,.09,-.22,-.24,-.26,-.44,-.26,.01
1924,-.28,-.21,.03,-.28,-.06,-.19,-.22,-.27,-.23,-.24,.10,-.36,-.18,-.15,-.14,-.10,-.23,-.12
1925,-.28,-.39,-.23,-.16,-.22,-.25,-.25,-.19,-.05,-.08,.22,.22,-.14,-.19,-.34,-.20,-.23,.03
1926,.53,.19,.37,-.12,-.23,-.20,-.19,-.06,-.02,.07,.17,-.29,.02,.06,.31,.01,-.15,.07
1927,-.28,-.08,-.46,-.26,-.13,-.14,-.07,-.16,.03,.24,.11,-.37,-.13,-.12,-.22,-.28,-.12,.13
1928,.27,.10,-.23,-.31,-.17,-.31,-.10,-.19,-.15,-.08,.06,-.04,-.09,-.12,.00,-.23,-.20,-.06
1929,-.55,-.79,-.18,-.35,-.27,-.39,-.35,-.19,-.20,-.01,-.02,-.65,-.33,-.28,-.46,-.27,-.31,-.07
1930,-.11,-.19,.11,-.15,-.19,-.11,-.03,.02,-.02,.02,.45,.09,-.01,-.07,-.31,-.08,-.04,.15
1931,.01,-.23,-.05,-.19,-.13,.15,.08,.10,.17,.36,.26,.11,.05,.05,-.04,-.13,.11,.27
1932,.40,-.18,-.20,.10,-.09,-.13,-.14,-.08,.11,.15,-.32,-.20,-.05,-.02,.11,-.06,-.12,-.02
1933,-.18,-.30,-.31,-.16,-.25,-.31,-.13,-.14,-.28,-.17,-.24,-.54,-.25,-.22,-.23,-.24,-.20,-.23
1934,-.14,.33,-.27,-.29,.08,-.01,-.03,-.09,-.13,.13,.27,.19,.00,-.06,-.12,-.16,-.05,.09
1935,-.39,.57,.03,-.34,-.28,-.14,-.04,-.06,-.05,.12,-.31,-.16,-.09,-.06,.12,-.20,-.08,-.08
1936,-.28,-.50,-.12,-.05,.00,.04,.09,.03,.07,.07,.15,.15,-.03,-.05,-.31,-.06,.06,.10
1937,.10,.25,-.23,-.06,.13,.15,.15,.16,.29,.33,.25,.00,.13,.14,.16,-.05,.15,.29
1938,.35,.28,.34,.31,.03,-.06,-.02,.09,.15,.32,.31,-.13,.17,.18,.21,.23,.00,.26
1939,.03,-.01,-.23,-.07,.02,.00,.05,.09,.13,.08,.25,.79,.09,.02,-.04,-.10,.05,.15
1940,-.10,.14,.04,.28,.17,.17,.16,.07,.27,.29,.31,.37,.18,.22,.28,.16,.13,.29
1941,.18,.47,.12,.13,.24,.21,.25,.19,.10,.50,.18,.20,.23,.25,.34,.16,.22,.26
1942,.41,-.08,.00,.10,.17,.11,.00,-.07,.11,.28,.26,.28,.13,.12,.18,.09,.01,.22
1943,-.09,.38,.00,.31,.23,-.07,-.02,.10,.14,.46,.36,.37,.18,.17,.19,.18,.01,.32
1944,.62,.44,.32,.18,.24,.17,.15,.17,.36,.44,.19,-.01,.27,.30,.48,.25,.16,.33
1945,.11,-.06,.10,.29,.08,.08,.07,.28,.20,.24,.08,-.21,.11,.12,.02,.16,.14,.18
1946,.34,.10,.12,.32,.04,-.05,-.04,-.09,-.03,.02,.08,-.45,.03,.05,.08,.16,-.06,.02
1947,-.04,-.03,.29,.23,.07,.01,-.03,-.04,-.01,.41,.19,-.05,.08,.05,-.18,.19,-.02,.20
1948,.30,-.14,-.27,-.03,.17,.05,.02,.03,-.03,.08,.04,-.39,-.01,.01,.04,-.04,.03,.03
1949,.23,-.09,.04,-.03,.00,-.20,-.11,-.05,-.10,.07,.05,-.14,-.03,-.05,-.09,.01,-.12,.01
1950,-.29,-.27,.06,-.22,-.04,-.06,-.18,-.20,-.09,-.06,-.33,-.13,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.52,-.18,.07,.17,-.02,.08,.22,.33,.29,.08,.38,.04,.00,-.34,.02,.10,.23
1952,.17,.17,-.22,.17,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.04,.12,-.03
1953,.24,.37,.26,.41,.25,.25,.21,.18,.17,.27,.09,.22,.24,.22,.21,.30,.22,.18
1954,-.24,.00,-.16,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.42,-.12,-.43,-.24,-.13,-.10,-.05,.07,-.02,.12,-.34,-.28,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.32,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.10,-.23,-.25,-.22,-.26,-.22,-.29
1957,-.14,-.06,-.10,-.09,-.05,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
1958,.68,.28,.16,.02,.12,.04,.05,.13,.07,.08,.03,.18,.15,.16,.40,.10,.07,.06
1959,.24,.16,.33,.22,.04,.14,.05,.10,.13,-.04,.03,.10,.12,.13,.19,.20,.09,.04
1960,.15,.42,-.40,-.12,.03,.19,.09,.11,.12,.05,-.08,.39,.08,.05,.22,-.16,.13,.03
1961,.17,.29,.22,.14,.07,.18,.06,.05,-.03,-.04,.07,-.17,.09,.13,.29,.14,.09,.00
1962,.28,.36,.30,.22,.02,-.13,.10,.04,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.08
1963,.08,.50,-.12,.04,-.04,-.04,.10,.14,.13,.42,.43,.02,.14,.14,.23,-.04,.07,.33
1964,-.05,-.03,-.32,-.30,-.10,-.09,-.13,-.23,-.28,-.31,-.22,-.27,-.19,-.17,-.02,-.24,-.15,-.27
1965,-.02,-.37,-.10,-.26,-.14,-.20,-.18,-.20,-.20,-.02,.04,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.06,-.10,.02,-.03,-.02,-.02,-.10,-.09,.10,.00
1967,-.17,-.37,.23,.05,.21,-.06,.05,.07,-.03,.30,.04,.02,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,-.01,-.06,-.05,-.08,-.08,-.05,.00,-.22,-.33,-.07,-.04,-.14,.13,-.07,-.09
1969,-.43,-.46,-.20,.03,.11,-.04,.06,.05,.04,.03,.15,.31,-.03,-.08,-.40,-.02,.02,.07
1970,-.02,.28,-.07,-.02,.00,.02,-.04,-.05,-.05,-.20,.01,-.31,-.04,.01,.19,-.03,-.03,-.08
1971,-.14,-.21,-.28,-.20,-.12,-.14,-.13,-.16,-.14,-.16,-.02,-.14,-.15,-.17,-.22,-.20,-.14,-.11
1972,-.54,-.52,.01,-.11,-.15,-.10,-.05,-.09,-.26,-.04,-.19,-.04,-.17,-.18,-.40,-.09,-.08,-.17
1973,.15,.44,.32,.19,.09,.16,.04,.03,-.08,-.07,-.09,-.04,.09,.09,.18,.20,.08,-.08
1974,-.25,-.35,.03,-.10,-.19,-.18,-.12,-.11,-.16,-.23,-.21,-.27,-.18,-.16,-.21,-.09,-.14,-.20
1975,.16,.09,.11,.05,-.02,-.08,-.06,-.13,-.08,-.18,-.30,-.22,-.05,-.06,.00,.05,-.09,-.19
1976,.05,-.12,-.31,.02,-.26,-.20,-.26,-.21,-.12,-.51,-.31,-.25,-.21,-.20,-.10,-.18,-.22,-.32
1977,-.16,.11,.26,.25,.23,.22,.08,.02,.13,-.02,.27,.02,.12,.10,-.10,.25,.11,.13
1978,.16,.04,.21,.07,-.06,-.14,-.08,-.14,-.01,-.01,.16,.02,.02,.02,.07,.08,-.12,.05
1979,-.05,-.35,.18,-.17,.01,.08,.05,.04,.19,.23,.25,.54,.08,.04,-.13,.01,.06,.22
1980,.21,.40,.07,.15,.26,.19,.13,.09,.10,.11,.20,.09,.17,.21,.39,.16,.14,.14
1981,.79,.62,.67,.39,.18,.28,.09,.16,.14,.23,.35,.54,.37,.33,.50,.41,.18,.24
1982,-.14,.16,.06,.17,.09,.01,.04,-.07,.06,.00,-.11,.38,.06,.07,.19,.11,.00,-.02
1983,.55,.35,.42,.07,.05,.11,.20,.25,.26,.12,.49,.11,.25,.27,.43,.18,.19,.29
1984,.34,.02,.18,-.07,.23,.09,.09,.06,-.04,.09,-.10,-.42,.04,.08,.16,.11,.08,-.02
1985,.07,-.29,.00,-.04,.09,.00,-.08,-.02,.03,.02,.02,.16,.00,-.05,-.21,.02,-.03,.02
1986,.36,.31,.26,.15,.19,.14,-.02,.04,-.02,.09,.04,.06,.13,.14,.28,.20,.05,.03
1987,.25,.50,.00,.07,.23,.16,.25,.27,.39,.22,.10,.50,.25,.21,.27,.10,.23,.24
1988,.59,.46,.47,.44,.43,.40,.42,.26,.26,.23,.06,.43,.37,.38,.52,.45,.36,.18
1989,.08,.39,.45,.32,.22,.24,.32,.26,.23,.25,.11,.33,.27,.27,.30,.33,.27,.20
1990,.47,.54,1.16,.71,.50,.47,.33,.40,.42,.47,.46,.38,.53,.52,.45,.79,.40,.45
1991,.59,.57,.45,.55,.33,.47,.42,.35,.35,.29,.32,.20,.41,.42,.51,.44,.42,.32
1992,.61,.50,.54,.16,.19,.04,-.10,-.07,-.18,-.17,-.08,.21,.14,.13,.43,.30,-.04,-.15
1993,.39,.52,.38,.23,.32,.22,.12,.02,-.06,.12,-.21,.22,.19,.19,.37,.31,.12,-.05
1994,.34,-.04,.49,.48,.39,.41,.34,.32,.33,.54,.50,.36,.37,.36,.17,.45,.36,.46
1995,.75,1.19,.59,.71,.41,.50,.37,.54,.43,.60,.57,.27,.58,.59,.77,.57,.47,.53
1996,.27,.54,.32,.17,.35,.25,.29,.18,.04,.04,.35,.35,.26,.26,.36,.28,.24,.14
1997,.34,.59,.74,.49,.42,.49,.41,.48,.51,.63,.59,.51,.52,.50,.43,.55,.46,.58
1998,.62,1.03,.72,.87,.66,.73,.75,.72,.61,.54,.49,.74,.71,.69,.72,.75,.73,.55
1999,.59,1.00,.29,.54,.36,.35,.35,.31,.40,.39,.53,.66,.48,.49,.78,.40,.34,.44
2000,.39,.89,.83,.89,.54,.44,.42,.47,.36,.29,.20,.27,.50,.53,.65,.75,.44,.28
2001,.56,.45,.76,.59,.69,.51,.63,.68,.56,.60,.97,.65,.64,.61,.43,.68,.61,.71
2002,1.02,1.14,1.11,.51,.52,.68,.66,.55,.62,.54,.78,.42,.71,.73,.94,.71,.63,.65
2003,.93,.56,.66,.61,.71,.54,.68,.86,.78,.99,.66,.98,.75,.70,.64,.66,.70,.81
2004,.67,.92,.86,.70,.52,.47,.50,.55,.60,.70,.98,.45,.66,.70,.86,.69,.50,.76
2005,.94,.72,.94,.93,.77,.79,.75,.69,.90,.95,1.06,.83,.86,.82,.70,.88,.74,.97
2006,.65,.95,.78,.60,.76,.81,.69,.69,.82,.96,.95,1.15,.82,.79,.81,.71,.73,.91
2007,1.45,.89,.96,1.07,.72,.65,.66,.73,.67,.83,.82,.77,.85,.88,1.17,.92,.68,.77
2008,.34,.59,1.14,.65,.60,.61,.60,.59,.57,.86,.97,.65,.68,.69,.56,.79,.60,.80
2009,.82,.70,.59,.70,.66,.68,.68,.72,.85,.79,.84,.67,.72,.72,.72,.65,.69,.83
2010,.81,.94,1.10,1.13,.94,.85,.89,.86,.70,.89,1.20,.50,.90,.91,.80,1.06,.86,.93
2011,.61,.56,.88,.84,.66,.76,.73,.71,.74,.91,.66,.88,.74,.71,.56,.79,.73,.77
2012,.68,.58,.71,1.07,.97,.94,.86,.76,.86,.91,.97,.46,.81,.85,.72,.92,.85,.92
2013,.85,.79,.81,.68,.78,.77,.69,.74,.70,.83,1.13,.83,.80,.77,.70,.76,.73,.88
2014,.97,.71,1.19,1.08,.90,.82,.77,.90,.83,.93,.80,1.09,.92,.89,.84,1.06,.83,.85
2015,1.17,1.19,1.32,1.02,1.04,1.05,.92,1.02,1.17,1.29,1.38,1.53,1.17,1.14,1.15,1.13,.99,1.28
2016,1.54,1.94,1.90,1.48,1.11,1.12,1.04,1.12,1.22,1.03,1.11,1.04,1.30,1.35,1.67,1.50,1.09,1.12
2017,1.38,1.52,1.52,1.19,.92,.93,.97,1.02,1.00,1.05,1.22,1.39,1.18,1.15,1.31,1.21,.97,1.09
2018,1.13,1.23,1.16,.97,1.01,.86,.90,.87,.97,1.23,.97,1.09,1.03,1.06,1.25,1.05,.87,1.06
2019,1.19,1.12,1.54,1.24,.99,1.20,1.03,1.08,1.21,1.31,1.20,1.39,1.21,1.18,1.14,1.25,1.10,1.24
2020,1.58,1.70,1.66,1.40,1.28,1.13,1.11,1.13,1.20,1.22,1.61,1.23,1.35,1.37,1.56,1.44,1.12,1.34
2021,1.26,.96,1.20,1.13,1.04,1.20,1.07,1.02,1.05,1.31,1.29,1.14,1.14,1.15,1.15,1.12,1.10,1.22
2022,1.25,1.17,1.42,1.09,.99,1.12,1.05,1.16,1.15,***,***,***,***,***,1.18,1.17,1.11,***
